Frequency(ppm);Intensity
-51.43428;-0.139378678792276
-51.41457;-0.139659099042585
-51.39487;-0.139888564650059
-51.37516;-0.138819166686995
-51.35546;-0.136380256683207
-51.33575;-0.134164179282111
-51.31604;-0.135903276828432
-51.29634;-0.139945205709201
-51.27663;-0.143107291294956
-51.25692;-0.142769741353853
-51.23722;-0.141355117959996
-51.21751;-0.140425188292892
-51.19781;-0.140521765987444
-51.1781;-0.141369746472029
-51.15839;-0.141930322611055
-51.13869;-0.14247605566727
-51.11898;-0.142015038234839
-51.09927;-0.140213850856233
-51.07957;-0.137099702590259
-51.05986;-0.13339322888818
-51.04015;-0.131459511743965
-51.02045;-0.132841845029533
-51.00074;-0.13461793936176
-50.98104;-0.134410694145495
-50.96133;-0.133505418255674
-50.94162;-0.133544826709836
-50.92192;-0.134258910235799
-50.90221;-0.134403286291747
-50.8825;-0.134213433126425
-50.8628;-0.1343078351143
-50.84309;-0.13379411103497
-50.82339;-0.133286874295863
-50.80368;-0.134150932757812
-50.78397;-0.132976559030358
-50.76427;-0.130700563459845
-50.74456;-0.131395907188801
-50.72485;-0.133584903314507
-50.70515;-0.135073475426222
-50.68544;-0.135693249732378
-50.66573;-0.135799797772033
-50.64603;-0.135574652288145
-50.62632;-0.134825265020332
-50.60662;-0.135207865612838
-50.58691;-0.137723833533667
-50.5672;-0.139617270511003
-50.5475;-0.140347146945849
-50.52779;-0.140594020139735
-50.50808;-0.139845736905671
-50.48838;-0.138861033796769
-50.46867;-0.137822292248154
-50.44896;-0.137344697385662
-50.42926;-0.136284222806019
-50.40955;-0.136134256735323
-50.38985;-0.13745093255691
-50.37014;-0.137454738531438
-50.35043;-0.135680203107656
-50.33073;-0.134689452036016
-50.31102;-0.134223995795328
-50.29131;-0.134872840683181
-50.27161;-0.136495070560012
-50.2519;-0.136318377261588
-50.2322;-0.134943494727095
-50.21249;-0.134535378859135
-50.19278;-0.135588536296339
-50.17308;-0.134782211464162
-50.15337;-0.133299384568278
-50.13366;-0.134734350876972
-50.11396;-0.135635490107136
-50.09425;-0.135561136371432
-50.07454;-0.135294806110881
-50.05484;-0.135080159118466
-50.03513;-0.135544887678611
-50.01543;-0.135676991026201
-49.99572;-0.134464567744222
-49.97601;-0.134480015869889
-49.95631;-0.137057111265825
-49.9366;-0.13998042547118
-49.91689;-0.14050822647131
-49.89719;-0.139104617684177
-49.87748;-0.136343599288368
-49.85778;-0.134872263632353
-49.83807;-0.136558825515469
-49.81836;-0.138393770452927
-49.79866;-0.140501351429612
-49.77895;-0.141793975474346
-49.75924;-0.142643804893615
-49.73954;-0.143595108395616
-49.71983;-0.144871060413067
-49.70012;-0.146420107369485
-49.68042;-0.146513988789507
-49.66071;-0.143809869746014
-49.64101;-0.139428963780697
-49.6213;-0.136695145347443
-49.60159;-0.137298225352993
-49.58189;-0.139238482318856
-49.56218;-0.1395535391357
-49.54247;-0.1380406587616
-49.52277;-0.137024624178717
-49.50306;-0.136683644428267
-49.48336;-0.136783982682181
-49.46365;-0.137677223445568
-49.44394;-0.137343546320339
-49.42424;-0.135835325024045
-49.40453;-0.134555893050158
-49.38482;-0.133456297453636
-49.36512;-0.134484698559653
-49.34541;-0.135566114811314
-49.3257;-0.135466602228422
-49.306;-0.13639668634658
-49.28629;-0.138609835926714
-49.26659;-0.140474780365271
-49.24688;-0.140946408928336
-49.22717;-0.140678018606085
-49.20747;-0.138342483331765
-49.18776;-0.135905685466595
-49.16805;-0.135291936787547
-49.14835;-0.133580565267144
-49.12864;-0.131367107081791
-49.10893;-0.131517066743181
-49.08923;-0.132448793585878
-49.06952;-0.132972415570653
-49.04982;-0.132344248209204
-49.03011;-0.129685541440953
-49.0104;-0.128085473842007
-48.9907;-0.128976718429235
-48.97099;-0.129817343625725
-48.95128;-0.130831552858551
-48.93158;-0.132352781449566
-48.91187;-0.133715231212245
-48.89217;-0.13349755122286
-48.87246;-0.134227403241272
-48.85275;-0.13873531253595
-48.83305;-0.143231319916414
-48.81334;-0.143902140500144
-48.79363;-0.140985178964065
-48.77393;-0.138061130174042
-48.75422;-0.136499449168457
-48.73451;-0.136804175040477
-48.71481;-0.137456010024086
-48.6951;-0.136066241117919
-48.6754;-0.133898420746404
-48.65569;-0.13174235218615
-48.63598;-0.131818275261639
-48.61628;-0.133452340695427
-48.59657;-0.134360119762925
-48.57686;-0.134320363919927
-48.55716;-0.133979634629898
-48.53745;-0.134642318596662
-48.51775;-0.135668418134698
-48.49804;-0.134733230900124
-48.47833;-0.132891371726364
-48.45863;-0.131375783399861
-48.43892;-0.131349431087943
-48.41921;-0.132487788048091
-48.39951;-0.133331478028189
-48.3798;-0.134110403208652
-48.36009;-0.136282720535658
-48.34039;-0.137256401478176
-48.32068;-0.135724350795917
-48.30098;-0.134220674675967
-48.28127;-0.135519089482715
-48.26156;-0.136292358719124
-48.24186;-0.136713743622792
-48.22215;-0.136930478951982
-48.20244;-0.135384815545881
-48.18274;-0.133200485188657
-48.16303;-0.132008153036217
-48.14333;-0.132832520834625
-48.12362;-0.134043213025896
-48.10391;-0.134882242541114
-48.08421;-0.134280482877624
-48.0645;-0.132445386139228
-48.04479;-0.132848640376185
-48.02509;-0.135120225585421
-48.00538;-0.138171815507355
-47.98567;-0.139233142034558
-47.96597;-0.139058107767337
-47.94626;-0.138732336795395
-47.92656;-0.135182719905136
-47.90685;-0.132600102126669
-47.88714;-0.132921153129636
-47.86744;-0.13475550981416
-47.84773;-0.136110538984132
-47.82802;-0.13626107361011
-47.80832;-0.136363985940126
-47.78861;-0.136162629872493
-47.7689;-0.134785459319278
-47.7492;-0.134466289299289
-47.72949;-0.135265680937135
-47.70979;-0.135256442842116
-47.69008;-0.134997972799836
-47.67037;-0.135333498414223
-47.65067;-0.136055107522492
-47.63096;-0.136518579414694
-47.61125;-0.136642757699475
-47.59155;-0.137855187263566
